category,tech1,description,fit,title,also_buy,tech2,brand,feature,rank,also_view,main_cat,similar_item,date,price,asin,details
"['Software', 'Education &amp; Reference']",,"['Slides with Video, Teaching Public Speaking Online, Selections from the Communication Teacher, Handbook for Teachers of Non-Native Speakers of English (All description from back of CD Case)', '', '']",,Instructor's Resource CD-ROM for The Art of Speaking,[],,McGraw Hill,[],"18,178 in Software (",[],Software,,</div>,$8.00,007742817X,
"['Software', 'Education &amp; Reference']",,"[""Contains a guided tour of the program, Planning Express, a teacher resources library for Macgruder's American Government and Civics: Participating in Government"", '', '']",,Magruder's American Government Resource Pro CD-ROM Prentice Hall Teaching Resources &amp; Classroom Management,[],,Magruder's,[],"19,702 in Software (",['0130679550'],Software,,</div>,,0130438480,
"['Software', 'Education & Reference', 'Test Preparation']",,[],,Prentice Hall Test Manager a Comprehensive Suite of Tools for Testing and Assessment,[],,prentice hall,[],"54,036 in Software (",[],Software,,</div>,,0130852414,
"['Software', 'Education &amp; Reference', 'Test Preparation']",,"['Windos 95, 98, NT4, 200, XP\nMac OS 9.1-9.2 OS X', '', '']",,Magruder's American Government Itext Interactive Textbook on Cd-rom Texas Edition,[],,Magruder's,"['Interactive Learning Tools-Bring Content to life with interactive maps and hyper-linked concepts.', 'Built-in Reading Support-Improve reading comprehension w/vocab words hot-linked to an audio glossary.', 'Interactive Map Viewer-Enhance map skills and explore detailed scaleable maps w/skills support and assessment', 'Includes Adobe Acrobat Reader, Macromedia Flash Player, Shockwave Player, QuickTime 5.0']","52,031 in Software (",[],Software,,</div>,,0131817949,
"['Software', 'Design &amp; Illustration', 'CAD']",,"['2.5 Floppy', '', '']",,AUTOCAD The Student Edition Release 10 (1982-89),[],,Autodesk,[],"30,901 in Software (",[],Software,,</div>,,0201656302,
"['Software', 'Programming & Web Development', 'Web Design']",,"['System Requirements:\n\n    Microsoft Windows 2000 with Service Pack 3 (SP3) or later; or Windows XP or later\n    Intel Pentium 233 MHz or higher processor, Pentium III recommended\n    128 MB of RAM or above recommended\n    180 MB of available hard disk space (hard disk usage will vary depending on configuration; custom installation choices may require more or less hard disk space)\n    Optional installation files cache (recommended) requires an additional 200 MB of available hard disk space\n    Super VGA (800  600) or a higher-resolution monitor\n    Speech recognition requirements:\n    Pentium II 400 MHz or higher processor\n    Close-talk microphone and audio output device']",,"Microsoft FrontPage 2003 (120 Day Learning Trial* of the Full Version) [*GOOD FOR 120 DAYS FROM INSTALLMENT] (OEM Disc only, No Box)",[],,Microsoft,"['SAME FUNCTIONALITY AS FULL VERSION', 'PERFECT FOR STUDENTS', 'MUCH LOWER PRICE THAN FULL VERSION', 'COMES WITH Microsoft Office FrontPage 2003: Comprehensive Concepts and Techniques by Gary B. Shelly, Thomas J. Cashman and Jeffrey J. Quasney BOOK 9780619200473']","32,755 in Software (",[],Software,,</div>,,0205064833,
"['Software', 'Education & Reference']",,"['PACKED WITH RESOURCES YOULL FIND NOWHERE ELSE.<br/>Only the Zondervan Bible Study Library is built on todays most used, most trusted Bible translation, the New International Version (NIV). This is the only software that is a completely NIV-based reference system. It gives you the exact relationship of the NIV word to the Greek or Hebrew, allowing you to conduct thorough original language studies. But dont think its powerful advantages are only available to NIV users. Youll find a broad selection of Bible translations and classic study resourcesall in an intuitive format thats designed to make you feel instantly at home, so you can spend your time studying Gods Word, not the owners manual.<br/><br/>FROM SMALL GROUPS TO CHURCH ADMINISTRATIONLEAD BY THE WORD<br/>Whether youre teaching childrens church, leading adult Bible studies, or overseeing a small group ministry at your church, much rests on your shoulders as a leader. So if you want to help others grow in the faith, its essential for you to maintain your own spiritual vitality through a conscientious study of Gods Wordnot just reading it, but really digging into it so you can understand it, teach it, and live it. The Zondervan Bible Study Library Leaders Edition is for you. With remarkable ease and flexibility, this assortment of powerful resources allows you to:<br/> Conduct life-changing group Bible studies with printable handouts and leaders notes.<br/> Study the character profiles and life lessons of hundreds of men and women of the Bible.<br/> Search out answers to challenging questions in four different dictionaries and encyclopedias.<br/> Cross-reference English translations with Greek and Hebrew/Aramaic texts.<br/> Study multiple resources simultaneously, including Bibles, commentaries, dictionaries, encyclopedias, and more!<br/> Easily find all available materials for any word, verse, or topicits just a click away.<br/> Print any verse, chapter, topic, image, or search result.<br/><br/>NIV-BASED. MULTI-TRANSLATIONAL. INTUITIVE.<br/>Study multiple resources simultaneously, including the complete NIV, seven other translations, numerous commentaries, Bible dictionaries, encyclopedias, original languages, and much more.<br/><br/>TRANSPARENT<br/>Conduct complex searches without understanding computer-ese. <br/>Designed similar to many sophisticated web search engines youre familiar with so you can focus on the content, not learning computer language.<br/><br/>POWERFUL<br/>More powerful than a print interlinear! The translation view provides everything you need to understand the relationship between the English word in the NIV and the original biblical language.<br/><br/>USER-DRIVEN<br/>Write as many personal notes as you need and link them to verses or topics.<br/><br/>INTUITIVE<br/>Never lose a window! Tabbed and tiled window panes keep all your resources in view.<br/><br/>FLEXIBLE<br/>Many features are easy to use because theyre designed like programs you frequently use.<br/><br/>Decide how you want to view your search results: <br/> Concordance view <br/> Book-chapter-verse or a topic<br/> In context of full verse or topic<br/> In context of entire book<br/><br/>Content Youll Really Use. Value Youll Truly Appreciate.<br/><br/>BIBLE TRANSLATIONS<br/>The Holy Bible, New International Version<br/>The Holy Bible, New International Readers Version<br/>King James Version with Apocrypha<br/>New American Standard Bible Updated <br/>The Amplified Bible <br/>New Revised Standard Version<br/>American Standard Version<br/>Darby Bible<br/><br/>SPECIALTY BIBLES<br/>NIV Study Bible <br/>The New Student Bible, New International Version <br/>KJV/Amplified Parallel Bible*<br/>NIV/KJV Parallel Bible<br/>NASB/NIV Parallel Bible<br/>Comparative Study Bible<br/><br/>STUDY RESOURCES<br/>Zondervan NIV Exhaustive Concordance Second Edition <br/>NIV Unabridged Concordance*<br/>NIrV Unabridged Concordance<br/>KJV Unabridged Concordance<br/>NASB Updated Unabridged Concordance<br/>Amplified Unabridged Concordance<br/>Zondervan NIV Naves Topical Bible<br/>Zondervan Study Bible Cross Reference System<br/>Zondervan Study Bible Maps, Charts, Full-Color Photographs<br/>ASV Unabridged Concordance<br/>Darby Bible Unabridged Concordance<br/>NRSV Unabridged Concordance<br/>The Exhaustive Concordance to the Greek New Testament <br/>The Greek-English Concordance to the New Testament <br/>The Hebrew-English Concordance to the Old Testament <br/>All the Men of the Bible<br/>All the Women of the Bible<br/>Fruit of the Spirit Bible Studies: Joy, Faithfulness, Gentleness, Kindness, Love, Patience, Peace, Self-Control <br/>Discipleship Bible Studies: Basic Beliefs, Building Character, Effective Prayer, Knowing Scripture, New Life in Christ, Sharing Your Faith, Spiritual Disciplines, Spiritual Warfare <br/><br/>DEVOTIONALS<br/>Streams in the Desert <br/>Inspirational Readings<br/><br/>DICTIONARIES & ENCYCLOPEDIAS<br/>The NIV Compact Dictionary of the Bible<br/>New International Bible Dictionary <br/>New International Encyclopedia of Bible Words <br/>New International Encyclopedia of Bible Difficulties<br/><br/>BIBLICAL LANGUAGES<br/>Hebrew Old Testament BHS<br/>Hebrew text behind the NIV<br/>Greek New Testament UBS4<br/>Greek text behind the NIV<br/>The Greek New Testament UBS4 with NRSV & NIV<br/><br/>COMMENTARIES<br/>Zondervan NIV Bible Commentary (2 volumes) <br/>Matthew Henrys Commentary (6 volumes) <br/>New International Bible Commentary <br/>Asbury Bible Commentary<br/><br/>BIBLE INTRODUCTION & CREEDS<br/>Zondervan Quick Reference Series: The Life of Christ, Christian Theology, How We Got the Bible, The Books of the Bible, Early Church History<br/>Understanding the Bible, Revised<br/><br/>* All parallel Bibles and unabridged concordances result from the linking and search capabilities of this software. The ones shown are representative of the many options available to you as you customize your studies.<br/><br/>For the latest information and program updates regularly visit www.zondervan.com/interactive.<br/><br/>System Requirements:<br/>Pentium 166 MHz or higher processor<br/>Windows 98, 2000, ME, XP or Windows NT 4.0 (Service Pack 6)<br/>32 MB Ram<br/>52 MB of hard disk space minimum (244 MB for a full installation of all books)<br/>CD-ROM Drive<br/>VGA or higher resolution monitor<br/>Windows compatible pointer device<br/>Windows compatible printer', ""Whether youre teaching childrens church, leading adult Bible studies, or overseeing a small group ministry at your church, much rests on your shoulders as a leader. So if you want to help others grow in the faith, its essential for you to maintain your own spiritual vitality through a conscientious study of Gods Word--not just reading it, but really digging into it so you can understand it, teach it, and live it. The Zondervan Bible Study Library Leaders Edition is for you. With remarkable ease and flexibility, this assortment of powerful resources allows you to: <ul> <li>Conduct life-changing group Bible studies with printable handouts and leaders notes. <li>Study the character profiles and life lessons of hundreds of men and women of the Bible. <li>Search out answers to challenging questions in four different dictionaries and encyclopedias. <li>Cross-reference English translations with Greek and Hebrew/Aramaic texts. <li>Study multiple resources simultaneously, including Bibles, commentaries, dictionaries, encyclopedias, and more! <li>Easily find all available materials for any word, verse, or topic--its just a click away. <li>Print any verse, chapter, topic, image, or search result. </ul> Bible-study leaders, church administrators, and those serious about studying the Bible will appreciate the Leader's edition. Take advantage of the power of your computer to better understand what the Bible has to say, conduct word studies, prepare sermons, lesson plans, or conduct in-depth personal study."", ""The only software to include the NIV and NIV reference works for thorough study of today's best-selling Bible translation."", 'NIV-based. Multi-translational. Intuitive. <br>Study multiple resources simultaneously, including the complete NIV, seven other translations, numerous commentaries, Bible dictionaries, encyclopedias, original languages, and much more.', 'Transparent <ul> <li>Conduct complex searches. <li>Designed similar to many sophisticated Web search engines youre familiar with so you can focus on the content, not learning computer language. </ul> Powerful <br>More powerful than a print interlinear! The translation view provides everything you need to understand the relationship between the English word in the NIV and the original biblical language.', 'User-driven <br>Write as many personal notes as you need and link them to verses or topics.', 'Intuitive <br>Never lose a window! Tabbed and tiled window panes keep all your resources in view.', 'Flexible <br>Many features are easy to use because theyre designed like programs you frequently use.']",,Zondervan Bible Study Library: Leader's Edition 5.0,[],,Zondervan,[],"46,133 in Software (",[],Software,,</div>,,0310230691,
"['Software', 'Education &amp; Reference']",,"['PACKED WITH RESOURCES YOULL FIND NOWHERE ELSE.<br />Only the Zondervan Bible Study Library is built on todays most used, most trusted Bible translation, the New International Version (NIV). This is the only software that is a completely NIV-based reference system. It gives you the exact relationship of the NIV word to the Greek or Hebrew, allowing you to conduct thorough original language studies. But dont think its powerful advantages are only available to NIV users. Youll find a broad selection of Bible translations and classic study resourcesall in an intuitive format thats designed to make you feel instantly at home, so you can spend your time studying Gods Word, not the owners manual.<br />You get over $500 worth of print material at a tenth of the pricean incredible value for some of the finest Bible study tools you can find. Feature for feature and price for price, no other electronic study resource delivers anything like the breadth, depth, flexibility, and ease of use that the Zondervan Study Library brings to your computer.<br /><br />BRING GODS WORD HOME WITH THE FAMILY EDITION<br />This is itthe ideal Bible software for home use! The Family Edition brings together a smart, easy-to-use group of Bible translations and study resources to help you and your family read the Bible, understand it, and apply it to your lives. You dont need the knowledge of a scholarjust the desire to grow together in a vital love relationship with God.<br />Fun, informative, and richly rewarding, the Family Edition lets you<br /> Conduct comprehensive searches.<br /> Start right away, thanks to the intuitive, commonsense interface. <br /> Access the verse or topic you need in seconds.<br /> Study multiple resources simultaneously, including Bibles, dictionaries, and more!<br /> Easily find all available materials for any word, verse, or topicits just a click away.<br /> Bookmark any verse or topic to recall instantly when you need it.<br /> Write your own notes and link to any verse or topic.<br /> Print any verse, chapter, topic, image, or search result.<br /><br />NIV-BASED. MULTI-TRANSLATIONAL. INTUITIVE.<br />Study multiple resources simultaneously, including the complete NIV, four other translations, study notes, maps, full-color photographs, a Bible dictionary, and much more.<br /><br />TRANSPARENT<br />Conduct complex searches without understanding computer-ese. <br />Designed similar to many sophisticated web search engines youre familiar with so you can focus on the content, not learning computer language.<br /><br />POWERFUL<br />When conducting an English language word search, the software automatically points out all the words used to translate the Greek or Hebrew. Words in green are aids in translation, words in red combine to translate the Greek word.<br /><br />USER-DRIVEN<br />Write as many personal notes as you need and link them to verses or topics.<br /><br />INTUITIVE<br />Never lose a window! Tabbed and tiled window panes keep all your resources in view.<br /><br />FLEXIBLE<br />Many features are easy to use because theyre designed like programs you frequently use.<br /><br />Decide how you want to view your search results: <br /> Concordance view <br /> Book-chapter-verse or a topic<br /> In context of full verse or topic<br /> In context of entire book<br /><br />Content Youll Really Use. Value Youll Truly Appreciate.<br /><br />BIBLE TRANSLATIONS<br />The Holy Bible, New International Version<br />The Holy Bible, New International Readers Version<br />King James Version with Apocrypha<br />New American Standard Bible Updated <br />The Amplified Bible <br /><br />SPECIALTY BIBLES<br />NIV Study Bible <br />The New Student Bible, New International Version <br />KJV/Amplified Parallel Bible*<br />NIV/KJV Parallel Bible<br />NASB/NIV Parallel Bible<br />Comparative Study Bible<br /><br />STUDY RESOURCES<br />Zondervan NIV Exhaustive Concordance Second Edition <br />NIV Unabridged Concordance*<br />NIrV Unabridged Concordance<br />KJV Unabridged Concordance<br />NASB Updated Unabridged Concordance<br />Amplified Unabridged Concordance<br />Zondervan NIV Naves Topical Bible<br />Zondervan Study Bible Cross Reference System<br />Zondervan Study Bible Maps, Charts, Full-Color Photographs<br /><br />DEVOTIONALS<br />Streams in the Desert <br />Inspirational Readings<br /><br />DICTIONARIES &amp; ENCYCLOPEDIAS<br />The NIV Compact Dictionary of the Bible<br /><br />BIBLE INTRODUCTION &amp; CREEDS<br />Zondervan Quick Reference Series: The Life of Christ, Christian Theology, How We Got the Bible, The Books of the Bible<br /><br />* All parallel Bibles and unabridged concordances result from the linking and search capabilities of this software. The ones shown are representative of the many options available to you as you customize your studies.<br /><br />For the latest information and program updates regularly visit www.zondervan.com/interactive.<br /><br />System Requirements:<br />Pentium 166 MHz or higher processor<br />Windows 98, 2000, ME, XP or Windows NT 4.0 (Service Pack 6)<br />32 MB Ram<br />52 MB of hard disk space minimum (160 MB for a full installation of all books)<br />CD-ROm Drive<br />VGA or higher resolution monitor<br />Windows compatible pointer device<br />Windows compatible printer', '', '']",,Zondervan Bible Study Library: Family Edition 5.0,[],,Zondervan,[],"29,671 in Software (",[],Software,,</div>,,0310230713,
"['Software', 'Education &amp; Reference', 'Languages']",,"['Powered by Pradis, this Greek grammar text integrates the technical requirements for proper Greek interpretation with the actual interests and needs of Bible students. It is the first textbook to systematically link syntax and exegesis of the New Testament for second-year Greek student. Now, as part the Zondervan Library of Pradis compatible books, it is an essential reference tool for study of the New Testament.', '', '']",,Greek Grammar Beyond the Basics: An Exegetical Syntax of the New Testament,[],,Zondervan,[],"57,693 in Software (",[],Software,,</div>,,031023932X,
"['Software', 'Education &amp; Reference', 'Dictionaries']",,"['The Complete 5-Volume Set on CD-ROM . . . Now Powered by Pradis<br /><br />What its internationally acclaimed cousin, the New International Dictionary of New Testament Theology, is to the New Testament, the New International Dictionary of Old Testament Theology and Exegesis (NIDOTTE) is to the Old Testament. Drawing on the diligence and expertise of more than 200 contributors from over 100 academic institutions in 24 countries, NIDOTTE is a triumph of modern scholarship. It is indispensable for pastors, students, scholars, and anyone who wants to grasp the full riches of the Bible through a better understanding of Old Testament words and theological concepts.<br /><br />No Need to Know Hebrew or Aramaic<br />Whether youre a specialist or not, youll gain a nuanced understanding of words and concepts in the context of the Ancient Near East and the Old Testament. Youll also better understand their relationship to words in the New Testament. <br /><br />NIDOTTE features available with Pradis include:<br />Guide to Old Testament Theology and ExegesisEleven essays supply an overview of biblical hermeneutics and interpretation and provide guidelines for using NIDOTTE in interpreting and exegeting the Old Testament.<br /><br />Lexical DictionaryContains over 3,000 Hebrew words with thorough information on each word.<br /><br />Topical DictionaryUnlocks the theology of each Old Testament book and describes biblical concepts, people, places, events, and literary pieces.<br /><br />Search assistant<br /><br />Note-taking and bookmarking for book, chapter, verse, topic, or subtopic<br /><br />Customizationoptions for text, background colors, font, and point size<br /><br /><br />Easy-to-use Pradis interface is:<br /><br />TransparentSort by Hebrew/Aramaic, English, or both combined.<br /><br />User-DrivenIn the footnotes, choose how you want to view the Hebrew/Aramaic text (true, full, or simple transliteration).<br /><br />PowerfulSearch the dictionary for Hebrew/Aramaic words.<br /><br />IntuitiveNever lose a window! Tabbed and tiled window panes keep all your resources in view.<br /><br />FlexibleMany features are easy to use because theyre designed like programs you frequently use. For example, navigate by using a context tree or the go to dialog box. <br /><br />Expand the scope and speed of your Bible studies even more!<br />NIDOTTE 5.1 for Windows is powered by Pradis, the most powerful software available for Bible study. Its fully compatible with any edition of Zondervans Bible Study Library as well as the New International Dictionary of New Testament Theology and the Expositors Bible Commentary. Choose the right edition for you. <br /><br />For the latest information and program updates, regularly visit www.zondervan.com/interactive. <br /><br />System Requirements<br />Pentium 166 MHz or higher processor<br />Windows 98, 2000, ME, XP or Windows NT 4.0 (Service Pack 6)<br />64 MB RAM<br />20 MB hard disk space minimum<br />CD-ROM drive<br />Windows-compatible pointer device<br />Windows-compatible printer', '', '']",,New International Dictionary of Old Testament Theology &amp; Exegesis 5.1 for Windows,[],,Zondervan,[],"28,597 in Software (",[],Software,,</div>,,031024840X,
