overall,verified,reviewTime,reviewerID,asin,reviewerName,reviewText,summary,vote
4.0,True,"03 11, 2014",A240ORQ2LF9LUI,0077613252,Michelle W,The materials arrived early and were in excellent condition.  However for the money spent they really should've come with a binder and not just loose leaf.,Material Great,
4.0,True,"02 23, 2014",A1YCCU0YRLS0FE,0077613252,Rosalind White Ames,"I am really enjoying this book with the worksheets that make you review your goals, what to do when you do not make it, it reminds me  of my human sexuality classwork.",Health,
1.0,True,"02 17, 2014",A1BJHRQDYVAY2J,0077613252,Allan R. Baker,"IF YOU ARE TAKING THIS CLASS DON""T WASTE YOUR MONEY ON THIS SO CALLED BOOK! $140.00 FOR A ""BOOK"" THAT ISIN'T EVEN BOUND LOOSE LEAFS, THAT I HAD TO PROVIDE MY OWN BINDER FOR. TURNS OUT YOU CAN BUY ACCESS TO THE BOOK AT MCGRAW HILL CONNECT CORE FOR $70.00

THIS BOOK IS A COMPLETE WASTE OF MONEY!",ARE YOU KIDING ME?,7
3.0,True,"02 17, 2014",APRDVZ6QBIQXT,0077613252,Lucy,This book was missing pages!!! Important pages. I couldn't answer some test questions because of it!! I have never had this happen before.,missing pages!!,3
5.0,False,"10 14, 2013",A2JZTTBSLS1QXV,0077775473,Albert V.,"I have used LearnSmart and can officially say that this is an amazing study tool that quickly and simply adapts to your style of learning. You can access it at anytime and it is on the go! Once you start using LearnSmart you will quickly realize that this is the best way to learn and study.

I am a business student and I did not use LearnSmart for my Accounting I class, however, I did use it for my Accounting II class. The grade difference from Accounting I to Accounting II was a whole letter grade... thanks to LearnSmart!

Every college student should definitely check it out!",Best study product out there!,
4.0,True,"08 15, 2011",AGN3T5ERYJN5A,0132147556,Skipper management,"Strong backgroung, good read, quite up to date. It takes a holistic approach to the subject. Lack of references is a bit surprising.
Jorge",E-marketing 6th ed,
3.0,False,"10 9, 2010",AHPK2GD0SQC59,0132147556,dstmars,"If you live on Mars and never heard of the internet, this is a good book to have.",Mars calling Earth....what is internet?,
5.0,False,"10 3, 2010",A35UC8LHA6TILH,0132147556,Knw1989,i got this book on amazon and it ended up saving me a lot of money.  It was in great condition and has been extremely useful to me.,"good book, saved me a lot of money",
5.0,True,"10 3, 2010",A2IH0AJPR7IWG3,0132147556,Tam,I was very happy with this purchase because the shipment was super fast.  Thanks,Super fast,
5.0,True,"05 23, 2010",AL87GELNJGOH3,0132147556,R. Rowley,Recieved in a timely manner- book in great condition. Some markings- but ledgible. Will be ordering again from this site for my school books- saved over $200.,E-Marketing,
2.0,True,"05 3, 2009",A1CUJ6ZT82H7LS,0132147556,Brian,"Maybe it's just me (I have no marketing background but desperately want to learn for my start-up) but I cannot get hardly anything out of this text. I have tried very hard to tread through the writing and learn something useful but chapter after chapter seems to be the exact same thing... overly wordy, rambling & unnecessarily academic writing with no comprehensible message behind it, no strategies I can apply to my own business and no organization that I can make sense of. Feels almost like I'm reading a paper a college student BSed their way through with a whole bunch of long words and cryptic sentences in order to sound impressive. What a rip-off. I paid $70 for this and it has been the most useless book I've paid for in my research process (and I've read 16 other books thus far to help me with my venture).

The only reason I'm giving this two stars and not one star is that out of the first six chapters I've read, two of them actually made sense. One was on International Marketing and did a very good job explaining the technology limitations of other countries and the ways foreign citizens adapt to this and use technology. This is actually very helpful information and I'm going to use it. The second was on the legal and ethical aspects of using the internet. It gave an extremely concise explanation with lots of info and it was easily understandable. Unfortunately, I've read a chapter like this over and over and over again in pretty much every e-business book I've picked up so far so it's getting old.",This book is intolerable,3
5.0,True,"07 12, 2013",A3HB3SSFVVZNH0,0132147556,Sherry Knight,This was the textbook that I used for my E-Commerce course. I was able to understand it and to stay focused while I read it.,fast flowing,
2.0,True,"06 23, 2013",A1OU9LR6C03LNB,0132147556,John,Not worth the price. Most of the concepts are pretty superficial. The authors are also a little behind on the times.,Very simplistic,2
