,Unnamed: 0,title,asin,description,price,Licensing_Fee,Implemention_cost,Maintenance_cost,postive_score,negative_score,number_reviews,description_embeddings,title_embeddings,software_description,rank_score
1280,1280,human japanese,0615179088,"[ ' human japanese software window pc present japanese language square one warm , engaging tone . pack 1,800 recording vocabulary word example sentence , instantly searchable dictionary vocabulary word grammar term , dozen interactive review . product focus memorizing vocabulary , human japanese draw student real mechanic language , maintaining warm tone sense humor . goal human japanese turn student capable repeating canned phrase , lay foundation real linguistic cultural understanding . ' , ' brian rak writing japanese language 10 year . since first human japanese product released 1999 , maintained web site reader access forum interact author student . ' ]",39.94,0.008,19.97,3.994,99.37643031898187,21.094306842860533,118,"[[ 0.09625992 -0.18804407  2.2306604  ...  0.4682134   0.366353
   0.06747396]
 [ 0.00688898 -0.5331429   2.445344   ...  0.28711665  0.05757657
   0.08896387]
 [ 0.12863876 -0.16251723  2.6801999  ...  0.46746263  0.18491834
   0.10900175]
 ...
 [ 0.12863876 -0.16251723  2.6801999  ...  0.46746263  0.18491834
   0.10900175]
 [ 0.00688898 -0.5331429   2.445344   ...  0.28711665  0.05757657
   0.08896387]
 [ 0.19048668 -0.13500829  2.5141318  ...  0.31000853  0.16385153
  -0.09099569]]","[[ 0.02127007 -0.17556548  2.008087   ...  0.12797749  0.00444809
   0.31525397]
 [-0.15943678 -0.21843977  2.109869   ... -0.01176636  0.14969991
   0.54820865]
 [-0.28268376 -0.15780675  2.3321638  ...  0.18589544  0.24611749
   0.17804699]
 ...
 [-0.361293   -0.4034325   2.3724406  ...  0.15374936  0.23359422
   0.30253544]
 [-0.05452474 -0.14933896  2.2738335  ...  0.24484931  0.30048227
   0.48253712]
 [-0.361293   -0.4034325   2.3724406  ...  0.15374936  0.23359422
   0.30253544]]",HR program for windows and mac for japanese humans,9237.290570182318
1340,1340,instant immersion asia deployment pack,B0006B07LA,[ 'topics entertainment instant immersion asia deployment pack win/mac . basic training 6 language : mandarin chinesse japanese korean vietnamese thai tagalog . 11 cd ' ],19.71,0.008,9.855,1.971,4.4676214865612565,2.963025548029691,7,"[[ 0.09625992 -0.18804407  2.2306604  ...  0.4682134   0.366353
   0.06747396]
 [ 0.00688898 -0.5331429   2.445344   ...  0.28711665  0.05757657
   0.08896387]
 [ 0.12863876 -0.16251723  2.6801999  ...  0.46746263  0.18491834
   0.10900175]
 ...
 [ 0.12863876 -0.16251723  2.6801999  ...  0.46746263  0.18491834
   0.10900175]
 [ 0.00688898 -0.5331429   2.445344   ...  0.28711665  0.05757657
   0.08896387]
 [ 0.19048677 -0.13500838  2.5141323  ...  0.31000873  0.16385166
  -0.09099582]]","[[ 0.04209602 -0.11055798  2.5161953  ...  0.3490397   0.27000716
  -0.09540302]
 [-0.14897911 -0.20460308  2.2169144  ...  0.07665202 -0.06214191
   0.2494034 ]
 [-0.05452485 -0.14933898  2.2738338  ...  0.24484925  0.300482
   0.48253724]
 ...
 [-0.1348787  -0.45282784  2.4124625  ...  0.20950814  0.12458519
   0.11588651]
 [-0.28823742 -0.35624087  2.387142   ...  0.45486066 -0.02593681
   0.30035365]
 [-0.15954362 -0.06668124  2.1993802  ... -0.10119596 -0.08233146
   0.48549893]]",HR program for windows and mac for japanese humans,10.532171569720958
1367,1367,instant immersion japanese v2.0,B0009X6QDI,"[ 'with instant immersion japanese 2.0 easy , personalized way learn japanese big vacation business trip . software learning system offer beginner solid foundation build upon . develop basic japanese skill seek game , quiz printable worksheet . printable , portable glossary phrasebook phrase use business , restaurant , phone & ' ]",8.99,0.008,4.495,0.899,2.813224673271179,0.6784745892509818,4,"[[ 0.09625992 -0.18804407  2.2306604  ...  0.4682134   0.366353
   0.06747396]
 [ 0.00688898 -0.5331429   2.445344   ...  0.28711665  0.05757657
   0.08896387]
 [ 0.12863876 -0.16251723  2.6801999  ...  0.46746263  0.18491834
   0.10900175]
 ...
 [ 0.12863876 -0.16251723  2.6801999  ...  0.46746263  0.18491834
   0.10900175]
 [ 0.00688898 -0.5331429   2.445344   ...  0.28711665  0.05757657
   0.08896387]
 [ 0.19048665 -0.13500842  2.5141325  ...  0.31000867  0.16385128
  -0.09099573]]","[[ 0.04209602 -0.11055798  2.5161953  ...  0.3490397   0.27000716
  -0.09540302]
 [-0.14897911 -0.20460308  2.2169144  ...  0.07665202 -0.06214191
   0.2494034 ]
 [-0.05452485 -0.14933898  2.2738338  ...  0.24484925  0.300482
   0.48253724]
 ...
 [-0.16357957 -0.2314406   1.8824393  ...  0.39567503  0.5223977
   0.00749446]
 [ 0.04505393 -0.13585927  2.510176   ...  0.46918464  0.19670887
   0.08466081]
 [-0.2808539  -0.19399081  1.940539   ...  0.2609073   0.14356683
   0.3468524 ]]",HR program for windows and mac for japanese humans,8.53900033608079
307,307,berlitz chinese & amp ; japanese premier ( win/mac ) [ old version ],B000MFNUBE,"[ learn chinese & japanese easy way straightforward , effective system 's helping people learn foreign language decade . unique , time-proven learning system , 've provided three powerful way learn chinese & japanese : ( 1 ) window pc macintosh , ( 2 ) car , ( 3 ) go using ipod mobile listening device . developed editorial staff 30 teacher , berlitz chinese & japanese premier make learning fast , fun effective - 's 100 % guaranteed . `` ]",24.98,0.008,12.49,2.498,3.4524738118052483,3.0135196894407272,6,"[[ 0.09625992 -0.18804407  2.2306604  ...  0.4682134   0.366353
   0.06747396]
 [ 0.00688898 -0.5331429   2.445344   ...  0.28711665  0.05757657
   0.08896387]
 [-0.21905278 -0.8611253   1.9966933  ... -0.02709011 -0.0343605
   0.1334082 ]
 ...
 [ 0.250337   -0.20793231  2.5749185  ...  0.3391415   0.08712089
  -0.03184908]
 [ 0.00688898 -0.5331429   2.445344   ...  0.28711665  0.05757657
   0.08896387]
 [ 0.19048668 -0.13500829  2.5141318  ...  0.31000853  0.16385153
  -0.09099569]]","[[ 0.07393144 -0.05106744  2.1081572  ...  0.6181204  -0.11182936
   0.02641187]
 [-0.361293   -0.40343228  2.3724413  ...  0.15374947  0.23359413
   0.30253527]
 [-0.01089812 -0.38519922  2.1462338  ...  0.00337509  0.02224205
   0.06626416]
 ...
 [-0.14897911 -0.20460308  2.2169144  ...  0.07665202 -0.06214191
   0.2494034 ]
 [ 0.00688898 -0.5331429   2.445344   ...  0.28711665  0.05757657
   0.08896387]
 [ 0.19048649 -0.13500823  2.5141323  ...  0.3100085   0.16385134
  -0.09099558]]",HR program for windows and mac for japanese humans,2.633724734187126
1369,1369,instant immersion japanese-audio,B000IVFTIE,"[ 'meetings mito ? holiday hakone ? kobe kyoto , join conversation instant immersion japanese , dynamic audio language learning system 8 compact disc . ' ]",9.99,0.7040000000000001,4.995,0.999,0.9970337748527528,0.0001351308601442,1,"[[ 0.09625992 -0.18804407  2.2306604  ...  0.4682134   0.366353
   0.06747396]
 [ 0.00688898 -0.5331429   2.445344   ...  0.28711665  0.05757657
   0.08896387]
 [ 0.12863876 -0.16251723  2.6801999  ...  0.46746263  0.18491834
   0.10900175]
 ...
 [ 0.12863876 -0.16251723  2.6801999  ...  0.46746263  0.18491834
   0.10900175]
 [ 0.00688898 -0.5331429   2.445344   ...  0.28711665  0.05757657
   0.08896387]
 [ 0.19048668 -0.13500829  2.5141318  ...  0.31000853  0.16385153
  -0.09099569]]","[[ 0.04209602 -0.11055798  2.5161953  ...  0.3490397   0.27000716
  -0.09540302]
 [-0.14897911 -0.20460308  2.2169144  ...  0.07665202 -0.06214191
   0.2494034 ]
 [-0.05452485 -0.14933898  2.2738338  ...  0.24484925  0.300482
   0.48253724]
 ...
 [-0.02883262 -0.36379305  2.3379571  ...  0.15876675  0.26376024
   0.11629808]
 [ 0.04209602 -0.11055798  2.5161953  ...  0.3490397   0.27000716
  -0.09540302]
 [-0.10020969 -0.04608844  2.1019323  ...  0.25862914  0.16130851
   0.26082203]]",HR program for windows and mac for japanese humans,0.9968986439926086
1633,1633,learn japanese - level 2 : absolute beginner audio course mac [ download ],B004RL6HIW,"[ 'introducing ultimate language learning application ! ready learn japanese mac minute day ? experience evolution language learning ! never learning speak japanese fun , fast easy . you\ 'll speaking japanese within minute first lesson , interactive language experience keep engaged locked ! progress make learn japanese - absolute beginner `` utterly shock amaze friend , family , colleague , teacher . learn japanese - absolute beginner `` give benefit state art language lab right mac . actually , statement entirely honest . application even better language lab ! better language lab ? you\ 're joking , right ? actually , we\ 're . language lab , don\'t get two expert teacher personally walk pitfall pleasantry mastering japanese . learn japanese - absolute beginner `` ! material language lab present accountability material taught . u ! learn japanese - absolute beginner `` you\ 'll rapidly master listening skill , reading , speaking , pronunciation , even vocabulary , phrase , grammar ! you\ 'll quickly improve every aspect language learning making complete package ! application speaking first lesson , reading conversing . top notch technological solution software market sell hundred dollar ! hundred ! guess ? leveled playing field . learn japanese - absolute beginner `` give better fun experience fraction cost ! everyone chance master japanese fast ! ' ]",9.99,0.0,4.995,0.999,0.9931373000144958,0.032994695007801,1,"[[ 0.09625992 -0.18804407  2.2306604  ...  0.4682134   0.366353
   0.06747396]
 [ 0.00688898 -0.5331429   2.445344   ...  0.28711665  0.05757657
   0.08896387]
 [ 0.12863876 -0.16251723  2.6801999  ...  0.46746263  0.18491834
   0.10900175]
 ...
 [ 0.12863876 -0.16251723  2.6801999  ...  0.46746263  0.18491834
   0.10900175]
 [ 0.00688898 -0.5331429   2.445344   ...  0.28711665  0.05757657
   0.08896387]
 [ 0.19048668 -0.13500829  2.5141318  ...  0.31000853  0.16385153
  -0.09099569]]","[[-0.21905278 -0.8611253   1.9966933  ... -0.02709011 -0.0343605
   0.1334082 ]
 [-0.361293   -0.40343228  2.3724413  ...  0.15374947  0.23359413
   0.30253527]
 [-0.1348787  -0.45282784  2.4124625  ...  0.20950814  0.12458519
   0.11588651]
 ...
 [-0.02883262 -0.36379305  2.3379571  ...  0.15876675  0.26376024
   0.11629808]
 [ 0.00688898 -0.5331429   2.445344   ...  0.28711665  0.05757657
   0.08896387]
 [ 0.19048677 -0.13500838  2.5141323  ...  0.31000873  0.16385166
  -0.09099582]]",HR program for windows and mac for japanese humans,0.9601426050066948
1454,1454,japanese crash course,B000OZI9UY,[ 'designed pinpoint relevant information needed daily communication instant immersion japanese crash course provides quick thorough program traveler student business people alike need master key speaking skills- fast ! 3 cd audio suite feature salutation alphabet pronunciation much enabling converse ease . join million people worldwide discovered value instant immersion get fast track japanese proficiency ! format : audio book genre : & nbsp ; language upc : & nbsp ; 781735403136 manufacturer : & nbsp ; 40313 ' ],9.99,0.008,4.995,0.999,0.9572097063064576,0.1156968623399734,1,"[[ 0.09625992 -0.18804407  2.2306604  ...  0.4682134   0.366353
   0.06747396]
 [ 0.00688898 -0.5331429   2.445344   ...  0.28711665  0.05757657
   0.08896387]
 [ 0.12863876 -0.16251723  2.6801999  ...  0.46746263  0.18491834
   0.10900175]
 ...
 [ 0.12863876 -0.16251723  2.6801999  ...  0.46746263  0.18491834
   0.10900175]
 [ 0.00688898 -0.5331429   2.445344   ...  0.28711665  0.05757657
   0.08896387]
 [ 0.19048677 -0.13500838  2.5141323  ...  0.31000873  0.16385166
  -0.09099582]]","[[-0.2410044  -0.33483353  1.7280155  ...  0.2277823   0.18481518
  -0.15691864]
 [-0.13487856 -0.45282832  2.4124625  ...  0.20950794  0.12458503
   0.11588659]
 [-0.8021886  -0.35609198  2.5789967  ...  0.5511293   0.14427145
   0.4963216 ]
 ...
 [-0.01089783 -0.38519943  2.1462336  ...  0.00337487  0.0222422
   0.06626377]
 [-0.05452493 -0.14933896  2.2738335  ...  0.24484904  0.30048236
   0.48253727]
 [-0.36129308 -0.40343276  2.3724406  ...  0.15374927  0.23359424
   0.30253544]]",HR program for windows and mac for japanese humans,0.8415128439664843
1632,1632,learn japanese - level 1 : introduction audio course [ download ],B006IYNDLK,"[ 'introducing ultimate language learning application ! ready learn japanese pc minute day ? experience evolution language learning ! never learning speak japanese fun , fast easy . you\ 'll speaking japanese within minute first lesson , interactive language experience keep engaged locked ! progress make learn japanese - introduction `` utterly shock amaze friend , family , colleague , teacher . learn japanese - introduction `` give benefit state art language lab right pc . actually , statement entirely honest . application even better language lab ! better language lab ? you\ 're joking , right ? actually , we\ 're . language lab , don\'t get two expert teacher personally walk pitfall pleasantry mastering japanese . learn japanese - introduction `` ! material language lab present accountability material taught . u ! learn japanese - introduction `` you\ 'll rapidly master listening skill , reading , speaking , pronunciation , even vocabulary , phrase , grammar ! you\ 'll quickly improve every aspect language learning making complete package ! application speaking first lesson , reading conversing . top notch technological solution software market sell hundred dollar ! hundred ! guess ? leveled playing field . learn japanese - introduction `` give better fun experience fraction cost ! everyone chance master japanese fast ! ' ]",9.99,0.0,4.995,0.999,0.0064287879504263,0.9982454776763916,1,"[[ 0.09625992 -0.18804407  2.2306604  ...  0.4682134   0.366353
   0.06747396]
 [ 0.00688898 -0.5331429   2.445344   ...  0.28711665  0.05757657
   0.08896387]
 [ 0.12863876 -0.16251723  2.6801999  ...  0.46746263  0.18491834
   0.10900175]
 ...
 [ 0.12863876 -0.16251723  2.6801999  ...  0.46746263  0.18491834
   0.10900175]
 [ 0.00688898 -0.5331429   2.445344   ...  0.28711665  0.05757657
   0.08896387]
 [ 0.19048649 -0.13500823  2.5141323  ...  0.3100085   0.16385134
  -0.09099558]]","[[-0.21905278 -0.8611253   1.9966933  ... -0.02709011 -0.0343605
   0.1334082 ]
 [-0.361293   -0.40343228  2.3724413  ...  0.15374947  0.23359413
   0.30253527]
 [-0.1348787  -0.45282784  2.4124625  ...  0.20950814  0.12458519
   0.11588651]
 ...
 [-0.02883262 -0.36379305  2.3379571  ...  0.15876675  0.26376024
   0.11629808]
 [ 0.00688898 -0.5331429   2.445344   ...  0.28711665  0.05757657
   0.08896387]
 [ 0.19048655 -0.13500832  2.5141323  ...  0.31000838  0.1638513
  -0.09099582]]",HR program for windows and mac for japanese humans,-0.9918166897259653
1364,1364,instant immersion japanese deluxe v2.0,B0009X6QFQ,[ 'your passport language fluency ! product informationfrom worldwide leader language learning instant immersion japanese deluxe2.0 preferred method learn new language . & nbsp ; combining handson puter based training portability audio cd ability totake lesson go ipod/mp3 player reinforced thequick reference lonely pla phrase guide ; passport languageproficiency issued.product featurescd-rom disc 1 - 3tell beginner japanesetell intermediate japanesetel advanced japaneselet latest linguistic feature user-friendly interface tellme software suite help set pace japanese-language fluency with300 hour progressive instruction three cd-roms.features include : enriched lesson - enhanced interactive curriculum featuring : glossary 4000 word 1000+ word 46 animated demonstration 40 rule grammar speech recognition - state-of-the-art program evaluates pronunciation polish japanese accent . s.e.t.s . - unique capability spoken error tracking system detect error spoken japanese offer playback corrected speech . 500+ activity exercise - facilitate mastery grammar vocabulary wealth writing listening activity including : fill-in-the-blanks crossword puzzle word association mystery phase dictationjquicktransdisc 4targeting advanced student japanese language wish build theirvocabulary kanji understanding jquicktrans bine powerful japanesedictionaries translation aid kanji lookup breakdown study list andflashcards one cd-rom resource.functions include : auto-lookup ponent kanji boolean wildcard search support multiple dictionary including computer term legal term b ' ],9.99,0.008,4.995,0.999,0.8454885706305504,1.492663323879242,2,"[[ 0.09625992 -0.18804407  2.2306604  ...  0.4682134   0.366353
   0.06747396]
 [ 0.00688898 -0.5331429   2.445344   ...  0.28711665  0.05757657
   0.08896387]
 [ 0.12863876 -0.16251723  2.6801999  ...  0.46746263  0.18491834
   0.10900175]
 ...
 [ 0.12863876 -0.16251723  2.6801999  ...  0.46746263  0.18491834
   0.10900175]
 [ 0.00688898 -0.5331429   2.445344   ...  0.28711665  0.05757657
   0.08896387]
 [ 0.19048649 -0.13500823  2.5141323  ...  0.3100085   0.16385134
  -0.09099558]]","[[ 0.04209602 -0.11055798  2.5161953  ...  0.3490397   0.27000716
  -0.09540302]
 [-0.14897911 -0.20460308  2.2169144  ...  0.07665202 -0.06214191
   0.2494034 ]
 [-0.05452485 -0.14933898  2.2738338  ...  0.24484925  0.300482
   0.48253724]
 ...
 [-0.16357957 -0.2314406   1.8824393  ...  0.39567503  0.5223977
   0.00749446]
 [ 0.04505393 -0.13585927  2.510176   ...  0.46918464  0.19670887
   0.08466081]
 [-0.28085384 -0.19399054  1.940539   ...  0.26090744  0.14356709
   0.3468523 ]]",HR program for windows and mac for japanese humans,-1.2943495064973831
1368,1368,instant immersion japanese v2.0 [ old version ],B0008EWS6W,"[ instant immersion japanese deluxe , 'll get entertaining instruction japanese move pace . build speaking skill advanced speech recognition tool , expert lesson make learning read & write japanese easier -- enjoyable . , 'instant immersion version 2.0 move beginner intermediate speaker five cd-rom course study . including talk ! , talk , world talk eurotalk , focus basic vocabulary , phrase , accurate pronunciation use video technology feature . supplement study interactive picture dictionary , featuring 2,000 word entry . finally , test linguistic skill oscar lake , challenging interactive mystery game . ' ]",5.95,0.008,2.975,0.5950000000000001,1.6366467028856275,1.9901453219354155,4,"[[ 0.09625992 -0.18804407  2.2306604  ...  0.4682134   0.366353
   0.06747396]
 [ 0.00688898 -0.5331429   2.445344   ...  0.28711665  0.05757657
   0.08896387]
 [ 0.04209602 -0.11055798  2.5161953  ...  0.3490397   0.27000716
  -0.09540302]
 ...
 [ 0.12863876 -0.16251723  2.6801999  ...  0.46746263  0.18491834
   0.10900175]
 [ 0.00688898 -0.5331429   2.445344   ...  0.28711665  0.05757657
   0.08896387]
 [ 0.19048677 -0.13500838  2.5141323  ...  0.31000873  0.16385166
  -0.09099582]]","[[ 0.04209602 -0.11055798  2.5161953  ...  0.3490397   0.27000716
  -0.09540302]
 [-0.14897911 -0.20460308  2.2169144  ...  0.07665202 -0.06214191
   0.2494034 ]
 [-0.05452485 -0.14933898  2.2738338  ...  0.24484925  0.300482
   0.48253724]
 ...
 [-0.14897911 -0.20460308  2.2169144  ...  0.07665202 -0.06214191
   0.2494034 ]
 [ 0.00688898 -0.5331429   2.445344   ...  0.28711665  0.05757657
   0.08896387]
 [ 0.19048665 -0.13500842  2.5141325  ...  0.31000867  0.16385128
  -0.09099573]]",HR program for windows and mac for japanese humans,-1.4139944761991519
