,Unnamed: 0,title,asin,description,price,Licensing_Fee,Implemention_cost,Maintenance_cost,postive_score,negative_score,number_reviews,description_embeddings,title_embeddings,software_description,rank_score
1280,1280,human japanese,0615179088,"[ ' human japanese software window pc present japanese language square one warm , engaging tone . pack 1,800 recording vocabulary word example sentence , instantly searchable dictionary vocabulary word grammar term , dozen interactive review . product focus memorizing vocabulary , human japanese draw student real mechanic language , maintaining warm tone sense humor . goal human japanese turn student capable repeating canned phrase , lay foundation real linguistic cultural understanding . ' , ' brian rak writing japanese language 10 year . since first human japanese product released 1999 , maintained web site reader access forum interact author student . ' ]",39.94,0.008,19.97,3.994,99.37643031898187,21.094306842860533,118,"[[ 0.09625992 -0.18804407  2.2306604  ...  0.4682134   0.366353
   0.06747396]
 [ 0.00688898 -0.5331429   2.445344   ...  0.28711665  0.05757657
   0.08896387]
 [ 0.12863876 -0.16251723  2.6801999  ...  0.46746263  0.18491834
   0.10900175]
 ...
 [ 0.12863876 -0.16251723  2.6801999  ...  0.46746263  0.18491834
   0.10900175]
 [ 0.00688898 -0.5331429   2.445344   ...  0.28711665  0.05757657
   0.08896387]
 [ 0.19048668 -0.13500829  2.5141318  ...  0.31000853  0.16385153
  -0.09099569]]","[[ 0.02127007 -0.17556548  2.008087   ...  0.12797749  0.00444809
   0.31525397]
 [-0.15943678 -0.21843977  2.109869   ... -0.01176636  0.14969991
   0.54820865]
 [-0.28268376 -0.15780675  2.3321638  ...  0.18589544  0.24611749
   0.17804699]
 ...
 [-0.361293   -0.4034325   2.3724406  ...  0.15374936  0.23359422
   0.30253544]
 [-0.05452474 -0.14933896  2.2738335  ...  0.24484931  0.30048227
   0.48253712]
 [-0.361293   -0.4034325   2.3724406  ...  0.15374936  0.23359422
   0.30253544]]",HR program for windows and mac for japanese humans,9237.290570182318
934,934,encore office suite 2.0,B01ABRMTDC,"[ 'an easy aordable alternative popular oce productivity software . < br / > < br / > choose officesuite 2.0 get job done le time better result . officesuite reliable , powerful , fast , easy use . even put usb flash drive take wherever go . best , officesuite compatible microsoft word , excel , powerpoint . < br / > < br / > textmaker 2.0 < br / > < br / > normal daily correspondence scientic essay , greeting card elaborately designed brochure newsletter : textmaker , create attractive document fast lightning , alone teamwork colleague . < br / > < br / > planmaker 2.0 < br / > < br / > 350 calculation function , huge worksheet one million row professional function pivot table , planmaker well-suited kind calculation & ndash ; whether simple credit comparison overall nancial planning company . < br / > < br / > presentation 2.0 < br / > < br / > little work , large eect : create impressive presentation fast lightning presentation . numerous ready-made template easily modied work . lend presentation certain pizazz graphic , sound , video animation , impress public captivating discourse . < br / > ' ]",14.27,0.008,7.135,1.427,12.15172977844486,5.4517922836967045,20,"[[ 0.09625992 -0.18804407  2.2306604  ...  0.4682134   0.366353
   0.06747396]
 [ 0.00688898 -0.5331429   2.445344   ...  0.28711665  0.05757657
   0.08896387]
 [ 0.12863876 -0.16251723  2.6801999  ...  0.46746263  0.18491834
   0.10900175]
 ...
 [ 0.12863876 -0.16251723  2.6801999  ...  0.46746263  0.18491834
   0.10900175]
 [ 0.00688898 -0.5331429   2.445344   ...  0.28711665  0.05757657
   0.08896387]
 [ 0.19048668 -0.13500829  2.5141318  ...  0.31000853  0.16385153
  -0.09099569]]","[[-0.36129296 -0.40343276  2.3724406  ...  0.15374915  0.2335942
   0.30253518]
 [-0.14897873 -0.204603    2.2169142  ...  0.07665211 -0.06214166
   0.24940331]
 [-0.28823724 -0.35624066  2.387142   ...  0.45486078 -0.02593694
   0.30035362]
 ...
 [-0.16357909 -0.23144056  1.8824395  ...  0.39567518  0.5223977
   0.00749452]
 [ 0.04505403 -0.13585918  2.5101757  ...  0.46918476  0.19670872
   0.08466077]
 [-0.28085372 -0.19399063  1.9405389  ...  0.26090744  0.14356679
   0.34685197]]",HR program for windows and mac for japanese humans,133.9987498949631
1769,1769,lotus smartsuite 97 lotus 1-2-3 5 wordpro 97 approach 97 freelance graphic 97 organizer 97 screencam 97 ( cd-rom ),B000IPALBA,"[ 'this smartsuite give six hardest-working easiest-to-use application business today , including lotus 123 release 97 , word pro 97 , approach 97 , freelance graphic 97 , organizer 97 , screen cam 97. packed productivity tool help work smarter . tightly integrated help perform even trickiest cross-application task ease , give exciting new way collaborate colleague , co-worker , associate . ' ]",19.95,0.008,9.975,1.995,11.992119660775645,7.40076016401872,21,"[[ 0.09625992 -0.18804407  2.2306604  ...  0.4682134   0.366353
   0.06747396]
 [ 0.00688898 -0.5331429   2.445344   ...  0.28711665  0.05757657
   0.08896387]
 [ 0.12863876 -0.16251723  2.6801999  ...  0.46746263  0.18491834
   0.10900175]
 ...
 [ 0.12863876 -0.16251723  2.6801999  ...  0.46746263  0.18491834
   0.10900175]
 [ 0.00688898 -0.5331429   2.445344   ...  0.28711665  0.05757657
   0.08896387]
 [ 0.19048665 -0.13500842  2.5141325  ...  0.31000867  0.16385128
  -0.09099573]]","[[-0.21905278 -0.8611253   1.9966933  ... -0.02709011 -0.0343605
   0.1334082 ]
 [-0.10020969 -0.04608844  2.1019323  ...  0.25862914  0.16130851
   0.26082203]
 [ 0.24971129 -0.28216526  2.1901054  ...  0.18800707  0.33501747
   0.4370092 ]
 ...
 [-0.2826836  -0.15780665  2.332164   ...  0.18589556  0.24611795
   0.17804694]
 [ 0.00688898 -0.5331429   2.445344   ...  0.28711665  0.05757657
   0.08896387]
 [ 0.11108505 -0.08803299  2.533553   ...  0.3960265   0.21555685
   0.00412754]]",HR program for windows and mac for japanese humans,96.41854943189541
1340,1340,instant immersion asia deployment pack,B0006B07LA,[ 'topics entertainment instant immersion asia deployment pack win/mac . basic training 6 language : mandarin chinesse japanese korean vietnamese thai tagalog . 11 cd ' ],19.71,0.008,9.855,1.971,4.4676214865612565,2.963025548029691,7,"[[ 0.09625992 -0.18804407  2.2306604  ...  0.4682134   0.366353
   0.06747396]
 [ 0.00688898 -0.5331429   2.445344   ...  0.28711665  0.05757657
   0.08896387]
 [ 0.12863876 -0.16251723  2.6801999  ...  0.46746263  0.18491834
   0.10900175]
 ...
 [ 0.12863876 -0.16251723  2.6801999  ...  0.46746263  0.18491834
   0.10900175]
 [ 0.00688898 -0.5331429   2.445344   ...  0.28711665  0.05757657
   0.08896387]
 [ 0.19048677 -0.13500838  2.5141323  ...  0.31000873  0.16385166
  -0.09099582]]","[[ 0.04209602 -0.11055798  2.5161953  ...  0.3490397   0.27000716
  -0.09540302]
 [-0.14897911 -0.20460308  2.2169144  ...  0.07665202 -0.06214191
   0.2494034 ]
 [-0.05452485 -0.14933898  2.2738338  ...  0.24484925  0.300482
   0.48253724]
 ...
 [-0.1348787  -0.45282784  2.4124625  ...  0.20950814  0.12458519
   0.11588651]
 [-0.28823742 -0.35624087  2.387142   ...  0.45486066 -0.02593681
   0.30035365]
 [-0.15954362 -0.06668124  2.1993802  ... -0.10119596 -0.08233146
   0.48549893]]",HR program for windows and mac for japanese humans,10.532171569720958
1367,1367,instant immersion japanese v2.0,B0009X6QDI,"[ 'with instant immersion japanese 2.0 easy , personalized way learn japanese big vacation business trip . software learning system offer beginner solid foundation build upon . develop basic japanese skill seek game , quiz printable worksheet . printable , portable glossary phrasebook phrase use business , restaurant , phone & ' ]",8.99,0.008,4.495,0.899,2.813224673271179,0.6784745892509818,4,"[[ 0.09625992 -0.18804407  2.2306604  ...  0.4682134   0.366353
   0.06747396]
 [ 0.00688898 -0.5331429   2.445344   ...  0.28711665  0.05757657
   0.08896387]
 [ 0.12863876 -0.16251723  2.6801999  ...  0.46746263  0.18491834
   0.10900175]
 ...
 [ 0.12863876 -0.16251723  2.6801999  ...  0.46746263  0.18491834
   0.10900175]
 [ 0.00688898 -0.5331429   2.445344   ...  0.28711665  0.05757657
   0.08896387]
 [ 0.19048665 -0.13500842  2.5141325  ...  0.31000867  0.16385128
  -0.09099573]]","[[ 0.04209602 -0.11055798  2.5161953  ...  0.3490397   0.27000716
  -0.09540302]
 [-0.14897911 -0.20460308  2.2169144  ...  0.07665202 -0.06214191
   0.2494034 ]
 [-0.05452485 -0.14933898  2.2738338  ...  0.24484925  0.300482
   0.48253724]
 ...
 [-0.16357957 -0.2314406   1.8824393  ...  0.39567503  0.5223977
   0.00749446]
 [ 0.04505393 -0.13585927  2.510176   ...  0.46918464  0.19670887
   0.08466081]
 [-0.2808539  -0.19399081  1.940539   ...  0.2609073   0.14356683
   0.3468524 ]]",HR program for windows and mac for japanese humans,8.53900033608079
1281,1281,human japanese intermediate,061591067X,"[ 'learn japanese long-awaited sequel human japanese ! like predecessor , human japanese intermediate built idea best way learn truly comprehend japanese explained someone speaks language . core concept explained friendly , down-to-earth tone , frequent comparison similar aspect english . humor warmth , demystifies illuminates real nuts-and-bolts language -- vocabulary canned phrase like many product . explanation come alive deeply interwoven interactive example sentence immediately see hear exactly you\ 're learning . stay track exciting new u.s. patent-pending feature called ingredient example sentence breakdown , provide instantaneous lookup every word example sentence ! mean you\ 'll never lose flow middle interesting discussion you\ 've momentarily forgotten meaning word . human japanese intermediate get kanji big way , . end chapter , new batch kanji introduced , animation character , plus example sentence , illustration , writing tip , . goal simply throw bag character lap , carefully explain everything work . end , human japanese intermediate keep track kanji you\ 've learned point text automatically adjusts spelling `` word example sentence appropriate current knowledge . approach help overcome chicken-and-egg aspect kanji make challenging . stay sharp five different kind quiz : chapter review , vocab , conjugation , kanji stroke order , kanji flashcard . human japanese intermediate created smal team care deeply helping understand japanese deeply ever . continue journey today . ' , , ]",9.98,0.808,4.99,0.998,2.2472742358222604,1.0782314967364073,4,"[[ 0.09625992 -0.18804407  2.2306604  ...  0.4682134   0.366353
   0.06747396]
 [ 0.00688898 -0.5331429   2.445344   ...  0.28711665  0.05757657
   0.08896387]
 [ 0.12863876 -0.16251723  2.6801999  ...  0.46746263  0.18491834
   0.10900175]
 ...
 [-0.00328473 -0.21430756  2.5964117  ...  0.32197022  0.23621619
   0.21502078]
 [ 0.00688898 -0.5331429   2.445344   ...  0.28711665  0.05757657
   0.08896387]
 [ 0.19048665 -0.13500842  2.5141325  ...  0.31000867  0.16385128
  -0.09099573]]","[[ 0.02126986 -0.17556542  2.0080867  ...  0.1279772   0.00444792
   0.31525418]
 [-0.15943706 -0.21843977  2.1098692  ... -0.01176653  0.1497001
   0.5482087 ]
 [-0.2826836  -0.15780665  2.332164   ...  0.18589556  0.24611795
   0.17804694]
 ...
 [-0.1348787  -0.45282784  2.4124625  ...  0.20950814  0.12458519
   0.11588651]
 [ 0.24971129 -0.28216526  2.1901054  ...  0.18800707  0.33501747
   0.4370092 ]
 [-0.361293   -0.40343228  2.3724413  ...  0.15374947  0.23359413
   0.30253527]]",HR program for windows and mac for japanese humans,4.676170956343412
3044,3044,staff file 7.0,B0031KQAJQ,"[ staff file perfect solution today manager need easy way store , track , retrieve , safeguard employee information . comprehensive human resource ( hr ) system save time organizing staff record one location . staff file ' quick-tab navigation system , store type personnel information . performance evaluation , maintain training information , record benefit , track sick leave vacation time accrual , record discplinary warning workplace accident , many duty traditionally involving tedious paperwork . also store employee photo important document within staff file scanned w-2s resume . business different , identify fact important business define field . automatic reminder alert important date , certification expiration date , next performance review date , i-9 renewal date , employee anniversary birthdates , . accurate record help solve misunderstanding staff , help avoid costly litigation , save time . get peace mind deserve . get employee information organized . get staff file ! `` ]",217.8,0.008,108.9,21.78,0.9982557892799376,0.0004211857449263,1,"[[ 0.09625992 -0.18804407  2.2306604  ...  0.4682134   0.366353
   0.06747396]
 [ 0.00688898 -0.5331429   2.445344   ...  0.28711665  0.05757657
   0.08896387]
 [-0.05452485 -0.14933898  2.2738338  ...  0.24484925  0.300482
   0.48253724]
 ...
 [ 0.250337   -0.20793231  2.5749185  ...  0.3391415   0.08712089
  -0.03184908]
 [ 0.00688898 -0.5331429   2.445344   ...  0.28711665  0.05757657
   0.08896387]
 [ 0.19048649 -0.13500823  2.5141323  ...  0.3100085   0.16385134
  -0.09099558]]","[[-0.05452474 -0.14933896  2.2738335  ...  0.24484931  0.30048227
   0.48253712]
 [ 0.24971169 -0.28216535  2.1901054  ...  0.18800698  0.33501768
   0.43700895]
 [-0.13487865 -0.45282793  2.4124625  ...  0.20950808  0.12458505
   0.11588651]
 ...
 [ 0.00849448 -0.40988818  2.4743252  ...  0.6176577   0.41666198
   0.17184214]
 [ 0.04505383 -0.13585894  2.510176   ...  0.46918428  0.1967088
   0.08466109]
 [-0.28085396 -0.19399051  1.9405388  ...  0.26090756  0.14356698
   0.34685218]]",HR program for windows and mac for japanese humans,0.9978346035350113
1369,1369,instant immersion japanese-audio,B000IVFTIE,"[ 'meetings mito ? holiday hakone ? kobe kyoto , join conversation instant immersion japanese , dynamic audio language learning system 8 compact disc . ' ]",9.99,0.7040000000000001,4.995,0.999,0.9970337748527528,0.0001351308601442,1,"[[ 0.09625992 -0.18804407  2.2306604  ...  0.4682134   0.366353
   0.06747396]
 [ 0.00688898 -0.5331429   2.445344   ...  0.28711665  0.05757657
   0.08896387]
 [ 0.12863876 -0.16251723  2.6801999  ...  0.46746263  0.18491834
   0.10900175]
 ...
 [ 0.12863876 -0.16251723  2.6801999  ...  0.46746263  0.18491834
   0.10900175]
 [ 0.00688898 -0.5331429   2.445344   ...  0.28711665  0.05757657
   0.08896387]
 [ 0.19048668 -0.13500829  2.5141318  ...  0.31000853  0.16385153
  -0.09099569]]","[[ 0.04209602 -0.11055798  2.5161953  ...  0.3490397   0.27000716
  -0.09540302]
 [-0.14897911 -0.20460308  2.2169144  ...  0.07665202 -0.06214191
   0.2494034 ]
 [-0.05452485 -0.14933898  2.2738338  ...  0.24484925  0.300482
   0.48253724]
 ...
 [-0.02883262 -0.36379305  2.3379571  ...  0.15876675  0.26376024
   0.11629808]
 [ 0.04209602 -0.11055798  2.5161953  ...  0.3490397   0.27000716
  -0.09540302]
 [-0.10020969 -0.04608844  2.1019323  ...  0.25862914  0.16130851
   0.26082203]]",HR program for windows and mac for japanese humans,0.9968986439926086
1633,1633,learn japanese - level 2 : absolute beginner audio course mac [ download ],B004RL6HIW,"[ 'introducing ultimate language learning application ! ready learn japanese mac minute day ? experience evolution language learning ! never learning speak japanese fun , fast easy . you\ 'll speaking japanese within minute first lesson , interactive language experience keep engaged locked ! progress make learn japanese - absolute beginner `` utterly shock amaze friend , family , colleague , teacher . learn japanese - absolute beginner `` give benefit state art language lab right mac . actually , statement entirely honest . application even better language lab ! better language lab ? you\ 're joking , right ? actually , we\ 're . language lab , don\'t get two expert teacher personally walk pitfall pleasantry mastering japanese . learn japanese - absolute beginner `` ! material language lab present accountability material taught . u ! learn japanese - absolute beginner `` you\ 'll rapidly master listening skill , reading , speaking , pronunciation , even vocabulary , phrase , grammar ! you\ 'll quickly improve every aspect language learning making complete package ! application speaking first lesson , reading conversing . top notch technological solution software market sell hundred dollar ! hundred ! guess ? leveled playing field . learn japanese - absolute beginner `` give better fun experience fraction cost ! everyone chance master japanese fast ! ' ]",9.99,0.0,4.995,0.999,0.9931373000144958,0.032994695007801,1,"[[ 0.09625992 -0.18804407  2.2306604  ...  0.4682134   0.366353
   0.06747396]
 [ 0.00688898 -0.5331429   2.445344   ...  0.28711665  0.05757657
   0.08896387]
 [ 0.12863876 -0.16251723  2.6801999  ...  0.46746263  0.18491834
   0.10900175]
 ...
 [ 0.12863876 -0.16251723  2.6801999  ...  0.46746263  0.18491834
   0.10900175]
 [ 0.00688898 -0.5331429   2.445344   ...  0.28711665  0.05757657
   0.08896387]
 [ 0.19048668 -0.13500829  2.5141318  ...  0.31000853  0.16385153
  -0.09099569]]","[[-0.21905278 -0.8611253   1.9966933  ... -0.02709011 -0.0343605
   0.1334082 ]
 [-0.361293   -0.40343228  2.3724413  ...  0.15374947  0.23359413
   0.30253527]
 [-0.1348787  -0.45282784  2.4124625  ...  0.20950814  0.12458519
   0.11588651]
 ...
 [-0.02883262 -0.36379305  2.3379571  ...  0.15876675  0.26376024
   0.11629808]
 [ 0.00688898 -0.5331429   2.445344   ...  0.28711665  0.05757657
   0.08896387]
 [ 0.19048677 -0.13500838  2.5141323  ...  0.31000873  0.16385166
  -0.09099582]]",HR program for windows and mac for japanese humans,0.9601426050066948
1634,1634,learn korean - complete audio course mac [ download ],B004WJ24ZO,"[ 'introducing ultimate language learning application ! ready learn korean mac minute day ? experience evolution language learning ! never learning speak korean fun , fast easy . you\ 'll speaking korean within minute first lesson , interactive language experience keep engaged locked ! progress make learn korean - complete audio course `` utterly shock amaze friend , family , colleague , teacher . learn korean - complete audio course `` give benefit state art language lab right mac . actually , statement entirely honest . application even better language lab ! better language lab ? you\ 're joking , right ? actually , we\ 're . language lab , don\'t get two expert teacher personally walk pitfall pleasantry mastering korean . learn korean - complete audio course `` ! material language lab present accountability material taught . u ! learn korean - complete audio course `` you\ 'll rapidly master listening skill , reading , speaking , pronunciation , even vocabulary , phrase , grammar ! you\ 'll quickly improve every aspect language learning making complete package ! application speaking first lesson , reading conversing . top notch technological solution software market sell hundred dollar ! hundred ! guess ? leveled playing field . learn korean - complete audio course `` give better fun experience fraction cost ! everyone chance master korean fast ! ' ]",49.99,0.0,24.995,4.9990000000000006,1.0054737068712711,1.0132370358332992,2,"[[ 0.09625992 -0.18804407  2.2306604  ...  0.4682134   0.366353
   0.06747396]
 [ 0.00688898 -0.5331429   2.445344   ...  0.28711665  0.05757657
   0.08896387]
 [ 0.12863876 -0.16251723  2.6801999  ...  0.46746263  0.18491834
   0.10900175]
 ...
 [ 0.12863876 -0.16251723  2.6801999  ...  0.46746263  0.18491834
   0.10900175]
 [ 0.00688898 -0.5331429   2.445344   ...  0.28711665  0.05757657
   0.08896387]
 [ 0.19048668 -0.13500829  2.5141318  ...  0.31000853  0.16385153
  -0.09099569]]","[[-0.21905278 -0.8611253   1.9966933  ... -0.02709011 -0.0343605
   0.1334082 ]
 [-0.361293   -0.40343228  2.3724413  ...  0.15374947  0.23359413
   0.30253527]
 [-0.1348787  -0.45282784  2.4124625  ...  0.20950814  0.12458519
   0.11588651]
 ...
 [-0.02883262 -0.36379305  2.3379571  ...  0.15876675  0.26376024
   0.11629808]
 [ 0.00688898 -0.5331429   2.445344   ...  0.28711665  0.05757657
   0.08896387]
 [ 0.19048661 -0.13500832  2.5141323  ...  0.31000867  0.16385144
  -0.09099599]]",HR program for windows and mac for japanese humans,-0.015526657924056053
