,Unnamed: 0,title,asin,description,price,Licensing_Fee,Implemention_cost,Maintenance_cost,postive_score,negative_score,number_reviews,description_embeddings,title_embeddings,software_description,rank_score
3409,3409,video pro x2,B003EYU5BI,[ 'magix video pro x2 highly sophisticated video editing solution geared towards special need ambitious professional user . ' ],49.99,2.4000000000000004,24.995,4.9990000000000006,8.797528101946227,3.269670863730425,13,"[[ 0.09625992 -0.18804407  2.2306604  ...  0.4682134   0.366353
   0.06747396]
 [ 0.00688898 -0.5331429   2.445344   ...  0.28711665  0.05757657
   0.08896387]
 [ 0.12863876 -0.16251723  2.6801999  ...  0.46746263  0.18491834
   0.10900175]
 ...
 [ 0.12863876 -0.16251723  2.6801999  ...  0.46746263  0.18491834
   0.10900175]
 [ 0.00688898 -0.5331429   2.445344   ...  0.28711665  0.05757657
   0.08896387]
 [ 0.19048668 -0.13500829  2.5141318  ...  0.31000853  0.16385153
  -0.09099569]]","[[ 0.07057133 -0.44443575  2.5772188  ...  0.36670306  0.36978564
   0.5451824 ]
 [ 0.04209633 -0.11055833  2.516195   ...  0.34903967  0.27000692
  -0.09540243]
 [-0.02883257 -0.36379337  2.3379571  ...  0.15876631  0.26376015
   0.11629795]
 ...
 [ 0.00688905 -0.533143    2.4453442  ...  0.2871169   0.05757666
   0.08896381]
 [-0.32488006 -0.08094677  1.6962522  ...  0.1587465   0.09468744
   0.79927826]
 [-0.16357918 -0.23144038  1.88244    ...  0.3956754   0.52239794
   0.00749487]]",HR program for windows and mac for japanese humans,71.86214409680542
1340,1340,instant immersion asia deployment pack,B0006B07LA,[ 'topics entertainment instant immersion asia deployment pack win/mac . basic training 6 language : mandarin chinesse japanese korean vietnamese thai tagalog . 11 cd ' ],19.71,0.008,9.855,1.971,4.4676214865612565,2.963025548029691,7,"[[ 0.09625992 -0.18804407  2.2306604  ...  0.4682134   0.366353
   0.06747396]
 [ 0.00688898 -0.5331429   2.445344   ...  0.28711665  0.05757657
   0.08896387]
 [ 0.12863876 -0.16251723  2.6801999  ...  0.46746263  0.18491834
   0.10900175]
 ...
 [ 0.12863876 -0.16251723  2.6801999  ...  0.46746263  0.18491834
   0.10900175]
 [ 0.00688898 -0.5331429   2.445344   ...  0.28711665  0.05757657
   0.08896387]
 [ 0.19048677 -0.13500838  2.5141323  ...  0.31000873  0.16385166
  -0.09099582]]","[[ 0.04209602 -0.11055798  2.5161953  ...  0.3490397   0.27000716
  -0.09540302]
 [-0.14897911 -0.20460308  2.2169144  ...  0.07665202 -0.06214191
   0.2494034 ]
 [-0.05452485 -0.14933898  2.2738338  ...  0.24484925  0.300482
   0.48253724]
 ...
 [-0.1348787  -0.45282784  2.4124625  ...  0.20950814  0.12458519
   0.11588651]
 [-0.28823742 -0.35624087  2.387142   ...  0.45486066 -0.02593681
   0.30035365]
 [-0.15954362 -0.06668124  2.1993802  ... -0.10119596 -0.08233146
   0.48549893]]",HR program for windows and mac for japanese humans,10.532171569720958
1367,1367,instant immersion japanese v2.0,B0009X6QDI,"[ 'with instant immersion japanese 2.0 easy , personalized way learn japanese big vacation business trip . software learning system offer beginner solid foundation build upon . develop basic japanese skill seek game , quiz printable worksheet . printable , portable glossary phrasebook phrase use business , restaurant , phone & ' ]",8.99,0.008,4.495,0.899,2.813224673271179,0.6784745892509818,4,"[[ 0.09625992 -0.18804407  2.2306604  ...  0.4682134   0.366353
   0.06747396]
 [ 0.00688898 -0.5331429   2.445344   ...  0.28711665  0.05757657
   0.08896387]
 [ 0.12863876 -0.16251723  2.6801999  ...  0.46746263  0.18491834
   0.10900175]
 ...
 [ 0.12863876 -0.16251723  2.6801999  ...  0.46746263  0.18491834
   0.10900175]
 [ 0.00688898 -0.5331429   2.445344   ...  0.28711665  0.05757657
   0.08896387]
 [ 0.19048665 -0.13500842  2.5141325  ...  0.31000867  0.16385128
  -0.09099573]]","[[ 0.04209602 -0.11055798  2.5161953  ...  0.3490397   0.27000716
  -0.09540302]
 [-0.14897911 -0.20460308  2.2169144  ...  0.07665202 -0.06214191
   0.2494034 ]
 [-0.05452485 -0.14933898  2.2738338  ...  0.24484925  0.300482
   0.48253724]
 ...
 [-0.16357957 -0.2314406   1.8824393  ...  0.39567503  0.5223977
   0.00749446]
 [ 0.04505393 -0.13585927  2.510176   ...  0.46918464  0.19670887
   0.08466081]
 [-0.2808539  -0.19399081  1.940539   ...  0.2609073   0.14356683
   0.3468524 ]]",HR program for windows and mac for japanese humans,8.53900033608079
307,307,berlitz chinese & amp ; japanese premier ( win/mac ) [ old version ],B000MFNUBE,"[ learn chinese & japanese easy way straightforward , effective system 's helping people learn foreign language decade . unique , time-proven learning system , 've provided three powerful way learn chinese & japanese : ( 1 ) window pc macintosh , ( 2 ) car , ( 3 ) go using ipod mobile listening device . developed editorial staff 30 teacher , berlitz chinese & japanese premier make learning fast , fun effective - 's 100 % guaranteed . `` ]",24.98,0.008,12.49,2.498,3.4524738118052483,3.0135196894407272,6,"[[ 0.09625992 -0.18804407  2.2306604  ...  0.4682134   0.366353
   0.06747396]
 [ 0.00688898 -0.5331429   2.445344   ...  0.28711665  0.05757657
   0.08896387]
 [-0.21905278 -0.8611253   1.9966933  ... -0.02709011 -0.0343605
   0.1334082 ]
 ...
 [ 0.250337   -0.20793231  2.5749185  ...  0.3391415   0.08712089
  -0.03184908]
 [ 0.00688898 -0.5331429   2.445344   ...  0.28711665  0.05757657
   0.08896387]
 [ 0.19048668 -0.13500829  2.5141318  ...  0.31000853  0.16385153
  -0.09099569]]","[[ 0.07393144 -0.05106744  2.1081572  ...  0.6181204  -0.11182936
   0.02641187]
 [-0.361293   -0.40343228  2.3724413  ...  0.15374947  0.23359413
   0.30253527]
 [-0.01089812 -0.38519922  2.1462338  ...  0.00337509  0.02224205
   0.06626416]
 ...
 [-0.14897911 -0.20460308  2.2169144  ...  0.07665202 -0.06214191
   0.2494034 ]
 [ 0.00688898 -0.5331429   2.445344   ...  0.28711665  0.05757657
   0.08896387]
 [ 0.19048649 -0.13500823  2.5141323  ...  0.3100085   0.16385134
  -0.09099558]]",HR program for windows and mac for japanese humans,2.633724734187126
1369,1369,instant immersion japanese-audio,B000IVFTIE,"[ 'meetings mito ? holiday hakone ? kobe kyoto , join conversation instant immersion japanese , dynamic audio language learning system 8 compact disc . ' ]",9.99,0.7040000000000001,4.995,0.999,0.9970337748527528,0.0001351308601442,1,"[[ 0.09625992 -0.18804407  2.2306604  ...  0.4682134   0.366353
   0.06747396]
 [ 0.00688898 -0.5331429   2.445344   ...  0.28711665  0.05757657
   0.08896387]
 [ 0.12863876 -0.16251723  2.6801999  ...  0.46746263  0.18491834
   0.10900175]
 ...
 [ 0.12863876 -0.16251723  2.6801999  ...  0.46746263  0.18491834
   0.10900175]
 [ 0.00688898 -0.5331429   2.445344   ...  0.28711665  0.05757657
   0.08896387]
 [ 0.19048668 -0.13500829  2.5141318  ...  0.31000853  0.16385153
  -0.09099569]]","[[ 0.04209602 -0.11055798  2.5161953  ...  0.3490397   0.27000716
  -0.09540302]
 [-0.14897911 -0.20460308  2.2169144  ...  0.07665202 -0.06214191
   0.2494034 ]
 [-0.05452485 -0.14933898  2.2738338  ...  0.24484925  0.300482
   0.48253724]
 ...
 [-0.02883262 -0.36379305  2.3379571  ...  0.15876675  0.26376024
   0.11629808]
 [ 0.04209602 -0.11055798  2.5161953  ...  0.3490397   0.27000716
  -0.09540302]
 [-0.10020969 -0.04608844  2.1019323  ...  0.25862914  0.16130851
   0.26082203]]",HR program for windows and mac for japanese humans,0.9968986439926086
1633,1633,learn japanese - level 2 : absolute beginner audio course mac [ download ],B004RL6HIW,"[ 'introducing ultimate language learning application ! ready learn japanese mac minute day ? experience evolution language learning ! never learning speak japanese fun , fast easy . you\ 'll speaking japanese within minute first lesson , interactive language experience keep engaged locked ! progress make learn japanese - absolute beginner `` utterly shock amaze friend , family , colleague , teacher . learn japanese - absolute beginner `` give benefit state art language lab right mac . actually , statement entirely honest . application even better language lab ! better language lab ? you\ 're joking , right ? actually , we\ 're . language lab , don\'t get two expert teacher personally walk pitfall pleasantry mastering japanese . learn japanese - absolute beginner `` ! material language lab present accountability material taught . u ! learn japanese - absolute beginner `` you\ 'll rapidly master listening skill , reading , speaking , pronunciation , even vocabulary , phrase , grammar ! you\ 'll quickly improve every aspect language learning making complete package ! application speaking first lesson , reading conversing . top notch technological solution software market sell hundred dollar ! hundred ! guess ? leveled playing field . learn japanese - absolute beginner `` give better fun experience fraction cost ! everyone chance master japanese fast ! ' ]",9.99,0.0,4.995,0.999,0.9931373000144958,0.032994695007801,1,"[[ 0.09625992 -0.18804407  2.2306604  ...  0.4682134   0.366353
   0.06747396]
 [ 0.00688898 -0.5331429   2.445344   ...  0.28711665  0.05757657
   0.08896387]
 [ 0.12863876 -0.16251723  2.6801999  ...  0.46746263  0.18491834
   0.10900175]
 ...
 [ 0.12863876 -0.16251723  2.6801999  ...  0.46746263  0.18491834
   0.10900175]
 [ 0.00688898 -0.5331429   2.445344   ...  0.28711665  0.05757657
   0.08896387]
 [ 0.19048668 -0.13500829  2.5141318  ...  0.31000853  0.16385153
  -0.09099569]]","[[-0.21905278 -0.8611253   1.9966933  ... -0.02709011 -0.0343605
   0.1334082 ]
 [-0.361293   -0.40343228  2.3724413  ...  0.15374947  0.23359413
   0.30253527]
 [-0.1348787  -0.45282784  2.4124625  ...  0.20950814  0.12458519
   0.11588651]
 ...
 [-0.02883262 -0.36379305  2.3379571  ...  0.15876675  0.26376024
   0.11629808]
 [ 0.00688898 -0.5331429   2.445344   ...  0.28711665  0.05757657
   0.08896387]
 [ 0.19048677 -0.13500838  2.5141323  ...  0.31000873  0.16385166
  -0.09099582]]",HR program for windows and mac for japanese humans,0.9601426050066948
1454,1454,japanese crash course,B000OZI9UY,[ 'designed pinpoint relevant information needed daily communication instant immersion japanese crash course provides quick thorough program traveler student business people alike need master key speaking skills- fast ! 3 cd audio suite feature salutation alphabet pronunciation much enabling converse ease . join million people worldwide discovered value instant immersion get fast track japanese proficiency ! format : audio book genre : & nbsp ; language upc : & nbsp ; 781735403136 manufacturer : & nbsp ; 40313 ' ],9.99,0.008,4.995,0.999,0.9572097063064576,0.1156968623399734,1,"[[ 0.09625992 -0.18804407  2.2306604  ...  0.4682134   0.366353
   0.06747396]
 [ 0.00688898 -0.5331429   2.445344   ...  0.28711665  0.05757657
   0.08896387]
 [ 0.12863876 -0.16251723  2.6801999  ...  0.46746263  0.18491834
   0.10900175]
 ...
 [ 0.12863876 -0.16251723  2.6801999  ...  0.46746263  0.18491834
   0.10900175]
 [ 0.00688898 -0.5331429   2.445344   ...  0.28711665  0.05757657
   0.08896387]
 [ 0.19048677 -0.13500838  2.5141323  ...  0.31000873  0.16385166
  -0.09099582]]","[[-0.2410044  -0.33483353  1.7280155  ...  0.2277823   0.18481518
  -0.15691864]
 [-0.13487856 -0.45282832  2.4124625  ...  0.20950794  0.12458503
   0.11588659]
 [-0.8021886  -0.35609198  2.5789967  ...  0.5511293   0.14427145
   0.4963216 ]
 ...
 [-0.01089783 -0.38519943  2.1462336  ...  0.00337487  0.0222422
   0.06626377]
 [-0.05452493 -0.14933896  2.2738335  ...  0.24484904  0.30048236
   0.48253727]
 [-0.36129308 -0.40343276  2.3724406  ...  0.15374927  0.23359424
   0.30253544]]",HR program for windows and mac for japanese humans,0.8415128439664843
767,767,"dragon mac 5.0 , upgrade 4.0 [ download ] [ download ]",B014JJSX9W,"[ , dragon mac 5.0 speech recognition software drive productivity work enabling mac user quickly dictate transcribe document fully customizable experience optimizes speed accuracy . customize word specific industry terminology , insert frequently used text , short-cut repetitive task voice create document , spreadsheet , presentation , email , fill form simply reduce physical stress typing . dragon mac connects seamlessly new dragon anywhere mobile apps provide end-to-end voice productivity solution let work smarter get done desk , road , wherever job take . dragon mac 5.0 provides improved accuracy 4.x ( 15 % box accuracy improvement v3 ) , optimization latest speech recognition technology enhanced support accent . enhanced accuracy using microphone built macbook , macbook air , macbook pro , imac computer . 're free dictate document speak command directly mac without using headset optimal flexibility convenience . dragon mac 5.0 offer improved recognition canadian , se asian , indian , australian english accent . provides support word 2016 full text control built-in command let effortlessly mix talking typing . transcription result saved .rtf microsoft word format opened application choice . dragon mac appears x menu bar , making feature easily accessible single menu . change profile right menu well instantly access preference tool improve recognition . , 'it & # x2019 ; quick easy create custom voice command insert frequently-used text . feature save time effort letting insert standard reply , signature block boilerplate speaking simple command . create applescripts , automator workflow , shell script let dragon mac activate voice automate simple workflow multi-step business process via voice command . dragon give robust voice command control well full text control within many popular application use every day , enabling create document zip computer task record time . dragon mac support nuance-approved digital voice recorder advanced recording functionality automatically transcribe audio file text back mac . may prefer take note recording voice audio device later transcription , work dragon anywhere mobile app immediate , professional-grade dictation . dragon mac let work way want , optimize productivity road . also accurately transcribe another single speaker & # x2019 ; voice pre-recorded audio file podcasts . 90 second clip speaker required training . also listen audio playback dictation associated text highlighted screen . dragon mac eliminates barrier individual work disability limit ability use keyboard mouse . addition , help prevent fatigue repetitive stress injury offering comfortable , ergonomic alternative keyboard mouse . ' , 'carpal tunnel , wrist , mac , dictation , transcription , stress , typing , desktop , mobile , accuracy , microphone , macbook , imac , dragon anywhere , dictate , edit voice , text , control , dragon , word , playback , import , export , transcribe , injury , format , voice recorder , audio , speaker , menu , freedom , support , speak ' ]",150.0,0.008,75.0,15.0,0.6088419826701283,1.0063412999734282,2,"[[ 0.09625992 -0.18804407  2.2306604  ...  0.4682134   0.366353
   0.06747396]
 [ 0.00688898 -0.5331429   2.445344   ...  0.28711665  0.05757657
   0.08896387]
 [-0.00328473 -0.21430756  2.5964117  ...  0.32197022  0.23621619
   0.21502078]
 ...
 [ 0.12863876 -0.16251723  2.6801999  ...  0.46746263  0.18491834
   0.10900175]
 [ 0.00688898 -0.5331429   2.445344   ...  0.28711665  0.05757657
   0.08896387]
 [ 0.19048665 -0.13500816  2.5141323  ...  0.31000838  0.16385129
  -0.09099576]]","[[-0.02883262 -0.36379305  2.3379571  ...  0.15876675  0.26376024
   0.11629808]
 [-0.01089812 -0.38519922  2.1462338  ...  0.00337509  0.02224205
   0.06626416]
 [-0.1348787  -0.45282784  2.4124625  ...  0.20950814  0.12458519
   0.11588651]
 ...
 [-0.02883262 -0.36379305  2.3379571  ...  0.15876675  0.26376024
   0.11629808]
 [ 0.00688891 -0.53314275  2.445344   ...  0.2871167   0.05757655
   0.08896367]
 [ 0.19048665 -0.13500816  2.5141323  ...  0.31000838  0.16385129
  -0.09099576]]",HR program for windows and mac for japanese humans,-0.7949986346065998
1632,1632,learn japanese - level 1 : introduction audio course [ download ],B006IYNDLK,"[ 'introducing ultimate language learning application ! ready learn japanese pc minute day ? experience evolution language learning ! never learning speak japanese fun , fast easy . you\ 'll speaking japanese within minute first lesson , interactive language experience keep engaged locked ! progress make learn japanese - introduction `` utterly shock amaze friend , family , colleague , teacher . learn japanese - introduction `` give benefit state art language lab right pc . actually , statement entirely honest . application even better language lab ! better language lab ? you\ 're joking , right ? actually , we\ 're . language lab , don\'t get two expert teacher personally walk pitfall pleasantry mastering japanese . learn japanese - introduction `` ! material language lab present accountability material taught . u ! learn japanese - introduction `` you\ 'll rapidly master listening skill , reading , speaking , pronunciation , even vocabulary , phrase , grammar ! you\ 'll quickly improve every aspect language learning making complete package ! application speaking first lesson , reading conversing . top notch technological solution software market sell hundred dollar ! hundred ! guess ? leveled playing field . learn japanese - introduction `` give better fun experience fraction cost ! everyone chance master japanese fast ! ' ]",9.99,0.0,4.995,0.999,0.0064287879504263,0.9982454776763916,1,"[[ 0.09625992 -0.18804407  2.2306604  ...  0.4682134   0.366353
   0.06747396]
 [ 0.00688898 -0.5331429   2.445344   ...  0.28711665  0.05757657
   0.08896387]
 [ 0.12863876 -0.16251723  2.6801999  ...  0.46746263  0.18491834
   0.10900175]
 ...
 [ 0.12863876 -0.16251723  2.6801999  ...  0.46746263  0.18491834
   0.10900175]
 [ 0.00688898 -0.5331429   2.445344   ...  0.28711665  0.05757657
   0.08896387]
 [ 0.19048649 -0.13500823  2.5141323  ...  0.3100085   0.16385134
  -0.09099558]]","[[-0.21905278 -0.8611253   1.9966933  ... -0.02709011 -0.0343605
   0.1334082 ]
 [-0.361293   -0.40343228  2.3724413  ...  0.15374947  0.23359413
   0.30253527]
 [-0.1348787  -0.45282784  2.4124625  ...  0.20950814  0.12458519
   0.11588651]
 ...
 [-0.02883262 -0.36379305  2.3379571  ...  0.15876675  0.26376024
   0.11629808]
 [ 0.00688898 -0.5331429   2.445344   ...  0.28711665  0.05757657
   0.08896387]
 [ 0.19048655 -0.13500832  2.5141323  ...  0.31000838  0.1638513
  -0.09099582]]",HR program for windows and mac for japanese humans,-0.9918166897259653
1368,1368,instant immersion japanese v2.0 [ old version ],B0008EWS6W,"[ instant immersion japanese deluxe , 'll get entertaining instruction japanese move pace . build speaking skill advanced speech recognition tool , expert lesson make learning read & write japanese easier -- enjoyable . , 'instant immersion version 2.0 move beginner intermediate speaker five cd-rom course study . including talk ! , talk , world talk eurotalk , focus basic vocabulary , phrase , accurate pronunciation use video technology feature . supplement study interactive picture dictionary , featuring 2,000 word entry . finally , test linguistic skill oscar lake , challenging interactive mystery game . ' ]",5.95,0.008,2.975,0.5950000000000001,1.6366467028856275,1.9901453219354155,4,"[[ 0.09625992 -0.18804407  2.2306604  ...  0.4682134   0.366353
   0.06747396]
 [ 0.00688898 -0.5331429   2.445344   ...  0.28711665  0.05757657
   0.08896387]
 [ 0.04209602 -0.11055798  2.5161953  ...  0.3490397   0.27000716
  -0.09540302]
 ...
 [ 0.12863876 -0.16251723  2.6801999  ...  0.46746263  0.18491834
   0.10900175]
 [ 0.00688898 -0.5331429   2.445344   ...  0.28711665  0.05757657
   0.08896387]
 [ 0.19048677 -0.13500838  2.5141323  ...  0.31000873  0.16385166
  -0.09099582]]","[[ 0.04209602 -0.11055798  2.5161953  ...  0.3490397   0.27000716
  -0.09540302]
 [-0.14897911 -0.20460308  2.2169144  ...  0.07665202 -0.06214191
   0.2494034 ]
 [-0.05452485 -0.14933898  2.2738338  ...  0.24484925  0.300482
   0.48253724]
 ...
 [-0.14897911 -0.20460308  2.2169144  ...  0.07665202 -0.06214191
   0.2494034 ]
 [ 0.00688898 -0.5331429   2.445344   ...  0.28711665  0.05757657
   0.08896387]
 [ 0.19048665 -0.13500842  2.5141325  ...  0.31000867  0.16385128
  -0.09099573]]",HR program for windows and mac for japanese humans,-1.4139944761991519
